83,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  870 power,136,0,15kk,,,Elf
84,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  890 power,138,0,30kk,,,Elf
85,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  910 power,140,0,50kk,,,Elf
86,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  950 power,142,0,75kk,,,Elf
87,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with  990 power,144,0,100kk,,,Elf
88,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with 1080 power,146,0,100kk,,,Elf
89,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with 1170 power,148,0,100kk,,,Elf
90,Healer Blessing,lb_elf_dawn,Magic/Heal,,600,0,target/single,3,3,0,Cure bleed and potions of rank 10 or lower and heals the target with 1260 power,150,0,100kk,,,Elf
,,,,,,,,,,,,,,,,,,---------------------------Healer Blessing----------------------------
83,Healer Party Blessing,healer_party_blessing,Magic/Heal,,0,1000,party/aoe,3,9,0,Cure bleed and potions of rank 10 or lower and heals the party with  780 power,272,500kk,100kk,,,Elf
84,Healer Party Blessing,healer_party_blessing,Magic/Heal,,0,1000,party/aoe,3,9,0,Cure bleed and potions of rank 10 or lower and heals the party with  790 power,276,0,30kk,,,Elf
85,Healer Party Blessing,healer_party_blessing,Magic/Heal,,0,1000,party/aoe,3,9,0,Cure bleed and potions of rank 10 or lower and heals the party with  800 power,280,0,50kk,,,Elf
86,Healer Party Blessing,healer_party_blessing,Magic/Heal,,0,1000,party/aoe,3,9,0,Cure bleed and potions of rank 10 or lower and heals the party with  830 power,284,0,75kk,,,Elf
87,Healer Party Blessing,healer_party_blessing,Magic/Heal,,0,1000,party/aoe,3,9,0,Cure bleed and potions of rank 10 or lower and heals the party with  860 power,288,0,100kk,,,Elf
88,Healer Party Blessing,healer_party_blessing,Magic/Heal,,0,1000,party/aoe,3,9,0,Cure bleed and potions of rank 10 or lower and heals the party with  900 power,292,0,100kk,,,Elf
89,Healer Party Blessing,healer_party_blessing,Magic/Heal,,0,1000,party/aoe,3,9,0,Cure bleed and potions of rank 10 or lower and heals the party with  950 power,296,0,100kk,,,Elf
90,Healer Party Blessing,healer_party_blessing,Magic/Heal,,0,1000,party/aoe,3,9,0,Cure bleed and potions of rank 10 or lower and heals the party with 1000 power,300,0,100kk,,,Elf
,,,,,,,,,,,,,,,,,,----------------------------Healing Totem----------------------------
76,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +152/s,520,6.5kk,1k,,,Demon
77,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +153/s,523,11kk,1kk,,,Demon
78,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +154/s,526,16kk,1kk,,,Demon
79,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +155/s,529,80kk,1kk,,,Demon
80,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +156/s,532,0,5kk,,,Demon
81,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +157/s,535,0,7.5kk,,,Demon
82,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +159/s,541,0,10kk,,,Demon
83,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +162/s,550,0,15kk,,,Demon
84,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +166/s,562,0,30kk,,,Demon
85,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +170/s,574,0,50kk,,,Demon
86,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +174/s,586,0,75kk,,,Demon
87,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +178/s,598,0,100kk,,,Demon
88,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +182/s,610,0,100kk,,,Demon
89,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +186/s,622,0,100kk,,,Demon
90,Healing Totem,lb_ork_font,Magic/Heal,,0,0,target/aoe,1,25,30,places totem on the ground for 30 seconds that heals nearby friendly targets (300 range) for +200/s,634,0,100kk,,,Demon
,,,,,,,,,,,,,,,,,,----------------------------Resurrection----------------------------
76,Resurrection,resurrection,Magic/Heal,,600,0,target/single,5,5,0,Revive at 35% HP/MP; restore 100% of lost exp.,205,6.5kk,1kk
80,Resurrection,resurrection,Magic/Heal,,600,0,target/single,5,5,0,Revive at 40% HP/MP; restore 100% of lost exp.,250,0,5kk
,,,,,,,,,,,,,,,,,,----------------------------Resurrection Field----------------------------
76,Resurrection Field,resurrection_field,Magic/Heal,,0,900,party/aoe,10,60,0,Revive Dead allies 900 range around the caster at 35% HP/MP; restore 70% of lost exp.,410,6.5kk,1kk
80,Resurrection Field,resurrection_field,Magic/Heal,,0,900,party/aoe,5,60,0,Revive Dead allies 900 range around the caster at 40% HP/MP; restore 70% of lost exp.,500,0,5kk
,,,,,,,,,,,,,,,,,,----------------------------Rite of Preservation----------------------------
83,Rite of Preservation,rite_of_preservation,Magic/Buff,,600,0,party/single,1,3600,3600,"Blesses an ally (or yourself): they DIE normally, keep their buffs, and are offered a resurrection where they fell at 30% HP and MP, losing NO experience. The offer waits as long as they like. Lasts 60 minutes or until it saves them. 60 minute reuse., Consumes 5 Holy stone",500,500kk,100kk
,,,,,,,,,,,,,,,,,,----------------------------Urgent Party Heal----------------------------
83,Urgent Great Heal,urgent_great_heal,Magic/Heal,,0,1000,target/aoe,3,5,0,"Heals 10 most injured friendly target around the caster (900 range) starting with most injured one by 30% and every next target is healed -2% less form the one before, Consumes 5 skill stones",500,500kk,100kk,,[urgent_heal],,heals everyone in 900 range and each next target is healed with 2% less (caster is always healed - just placed based on injury) -> 30 -> 28 -> 26 -> .. -> 10%; find the 10 injured and include the caster -> order by % hp missing and heal from top 30-2x(index)%
,,,,,,,,,,,,,,,,,,---------------------------Restoration----------------------------
83,Elven Restoration,elven_restoration,Magic/Heal,,900,900,party/aoe,5,3600,0,Fully Restores MP (100%) and Restore HP with 50% to the party,300,500kk,100kk,,,Elf
83,Life Restoration,life_restoration,Magic/Heal,,900,900,party/aoe,5,3600,0,Fully Restores HP (100%) and Restores MP with 50% to the party,300,500kk,100kk,,,Human
83,Spirit Restoration,spirit_restoration,Magic/Heal,,900,900,party/aoe,5,3600,15,Restore MP/HP +30% and Increase Healing received with 30% to the pary,300,500kk,100kk,,,Demon
,,,,,,,,,,,,,,,,,,---------------------------Mark----------------------------
