85,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +155 HP/s and +15 MP/s for 30s,484,0,50kk
86,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +160 HP/s and +16 MP/s for 30s,490,0,75kk
87,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +165 HP/s and +16 MP/s for 30s,496,0,100kk
88,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +170 HP/s and +17 MP/s for 30s,502,0,100kk
89,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +175 HP/s and +17 MP/s for 30s,508,0,100kk
90,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +180 HP/s and +18 MP/s for 30s,514,0,100kk
,,,,,,,,,,,,,,,,,,,----------------------------Soul Reinforcement----------------------------
76,Soul Reinforcement,wc_soul_reinforcement,Magic/Buff,,,600,800,party/aoe,1,1,1200,"+35% Max MP, +30% M.Def, Decrease Physical MP Cost by 21% and Magic MP Cost by 11%",460,6.5kk,1kk
78,Soul Reinforcement,wc_soul_reinforcement,Magic/Buff,,,600,800,party/aoe,1,1,1200,"+35% Max MP, +30% M.Def, Decrease Physical MP Cost by 22% and Magic MP Cost by 12%",470,16kk,1kk
80,Soul Reinforcement,wc_soul_reinforcement,Magic/Buff,,,600,800,party/aoe,1,1,1200,"+35% Max MP, +30% M.Def, Decrease Physical MP Cost by 23% and Magic MP Cost by 13%",480,0,5kk
82,Soul Reinforcement,wc_soul_reinforcement,Magic/Buff,,,600,800,party/aoe,1,1,1200,"+35% Max MP, +30% M.Def, Decrease Physical MP Cost by 24% and Magic MP Cost by 14%",490,0,10kk
84,Soul Reinforcement,wc_soul_reinforcement,Magic/Buff,,,600,800,party/aoe,1,1,1200,"+35% Max MP, +30% M.Def, Decrease Physical MP Cost by 25% and Magic MP Cost by 15%",500,0,30kk
86,Soul Reinforcement,wc_soul_reinforcement,Magic/Buff,,,600,800,party/aoe,1,1,1200,"+35% Max MP, +30% M.Def, Decrease Physical MP Cost by 26% and Magic MP Cost by 16%",510,0,75kk
88,Soul Reinforcement,wc_soul_reinforcement,Magic/Buff,,,600,800,party/aoe,1,1,1200,"+35% Max MP, +30% M.Def, Decrease Physical MP Cost by 28% and Magic MP Cost by 18%",520,0,100kk
90,Soul Reinforcement,wc_soul_reinforcement,Magic/Buff,,,600,800,party/aoe,1,1,1200,"+35% Max MP, +30% M.Def, Decrease Physical MP Cost by 30% and Magic MP Cost by 20%",530,0,100kk
,,,,,,,,,,,,,,,,,,,----------------------------Arcane and Feral Protectio----------------------------
76,Arcane and Feral Protection,wc_arcane_feral_protection,Magic/Buff,,,600,800,party/aoe,1,1,1200,"43% resist to CON debuff, 50% resist to SPT debuffs",350,6.5kk,1kk
78,Arcane and Feral Protection,wc_arcane_feral_protection,Magic/Buff,,,600,800,party/aoe,1,1,1200,"47% resist to CON debuff, 50% resist to SPT debuffs",360,16kk,1kk
80,Arcane and Feral Protection,wc_arcane_feral_protection,Magic/Buff,,,600,800,party/aoe,1,1,1200,"50% resist to CON debuff, 50% resist to SPT debuffs",370,0,5kk
82,Arcane and Feral Protection,wc_arcane_feral_protection,Magic/Buff,,,600,800,party/aoe,1,1,1200,"54% resist to CON debuff, 50% resist to SPT debuffs",380,0,10kk
84,Arcane and Feral Protection,wc_arcane_feral_protection,Magic/Buff,,,600,800,party/aoe,1,1,1200,"57% resist to CON debuff, 50% resist to SPT debuffs",390,0,30kk
86,Arcane and Feral Protection,wc_arcane_feral_protection,Magic/Buff,,,600,800,party/aoe,1,1,1200,"60% resist to CON debuff, 50% resist to SPT debuffs",400,0,75kk
88,Arcane and Feral Protection,wc_arcane_feral_protection,Magic/Buff,,,600,800,party/aoe,1,1,1200,"63% resist to CON debuff, 50% resist to SPT debuffs",410,0,100kk
90,Arcane and Feral Protection,wc_arcane_feral_protection,Magic/Buff,,,600,800,party/aoe,1,1,1200,"65% resist to CON debuff, 50% resist to SPT debuffs",420,0,100kk
,,,,,,,,,,,,,,,,,,,---------------------------Mark----------------------------
79,Harmony Mark,wc_harmony_mark,Magic/Heal,,,900,800,party/aoe,5,120,300,"Increases: Atk with 10%; Acc +3; Atk/Cast.Speed, Def, Crit.Rate, Crit.Dmg, Max HP/MP and regen with 20%;  Consumes 10 skill stones; Do not Stack with Other 'Mark' skills",300,80kk,1kk,,,,Same Principle as Great Might/Bulwark
83,Harmony Mark,wc_harmony_mark,Magic/Heal,,,900,800,party/aoe,5,120,300,"Increases: Atk with 10%; Acc +3; Atk/Cast.Speed, Def, Crit.Rate, Crit.Dmg, Max HP/MP and regen with 20%; Critical.Rate.Received -10%; P.Critical.Dmg.Received -30%;Consumes 15 skill stones; Do not Stack with Other 'Mark' skills",300,0,15kk,,,,both Phisical and magical crit raates have same buffs to increase it 100% + 30% + 20% .. so both cirt rates can be decreased a bit .. (roges have more decreases of crit rates); but crit dmg we have 35% + 35% + 20% for phisical and 30+20% for magical .. thats why the decrease is only the physical (tanks have more decrease of crit dmg) 
,,,,,,,,,,,,,,,,,,,---------------------------Sound Burst----------------------------
76,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +4100 Twice, Requre: Bow;",123,6.5kk,1,,,Elf
77,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +4200 Twice, Requre: Bow;",126,11kk,1k,,,Elf
78,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +4300 Twice, Requre: Bow;",129,16kk,1k,,,Elf
79,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +4400 Twice, Requre: Bow;",132,80kk,1k,,,Elf
80,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +4500 Twice, Requre: Bow;",135,0,5kk,,,Elf
81,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +4600 Twice, Requre: Bow;",138,0,7.5kk,,,Elf
82,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +4700 Twice, Requre: Bow;",141,0,10kk,,,Elf
83,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +4800 Twice, Requre: Bow;",144,0,15kk,,,Elf
84,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +4900 Twice, Requre: Bow;",147,0,30kk,,,Elf
85,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +5000 Twice, Requre: Bow;",150,0,50kk,,,Elf
86,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +5300 Twice, Requre: Bow;",159,0,75kk,,,Elf
87,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +5600 Twice, Requre: Bow;",168,0,100kk,,,Elf
88,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +5900 Twice, Requre: Bow;",177,0,100kk,,,Elf
89,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +6200 Twice, Requre: Bow;",186,0,100kk,,,Elf
90,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +6500 Twice, Requre: Bow;",195,0,100kk,,,Elf
,,,,,,,,,,,,,,,,,,,---------------------------Sound Smash----------------------------
