LEARN @ LVL, NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET, CAST s,CD s,DURRATION s, DESCR,MP,SP COST (x1000),REPLACES,RACE,COMMENT
,,,,,,,,,,,,,,,,,----------------------------Shield Mastery----------------------------
40,Shield Mastery,tank_shield_mastery,Passive,,heavy/shield,0,0,self/single,0,0,0,"Shield P.Def +50%, Shield Rate +85%;  +10% P.Def, bow resistance 16%",0,28,[]
52,Aggravated State,tank_aggravated_state,Passive,,,0,0,self/single,0,25,30,"When dmg is received with 15% chance increase P.Atk and Attack speed of party memebrs with 2% and owner with 3% and P.Skill.Power with 10%",0,120
60,Aggravated State,tank_aggravated_state,Passive,,,0,0,self/single,0,25,30,"When dmg is received with 15% chance increase P.Atk and Attack speed of party memebrs with 3% and owner with 5% and P.Skill.Power with 15%",0,120
68,Aggravated State,tank_aggravated_state,Passive,,,0,0,self/single,0,25,30,"When dmg is received with 15% chance increase P.Atk and Attack speed of party memebrs with 5% and owner with 7% and P.Skill.Power with 20%",0,120
,,,,,,,,,,,,,,,,,----------------------------Whisp Mastery----------------------------
60,Whisp Mastery,tank_whisp_mastery,Passive,,,0,0,self/single,0,0,0,"Increase the limit of active whisps to 2",0,120
,,,,,,,,,,,,,,,,,----------------------------Taunting Whisps----------------------------
40,Taunting Whisp,tank_whisp_taunt,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Tauntin the enemy (Power 6500), Consumes 4 skill stones",50,28,,Human,uses whisp_provoke
46,Taunting Whisp,tank_whisp_taunt,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Tauntin the enemy (Power 7500); Consumes 4 skill stones",54,40,,Human,uses whisp_provoke
52,Taunting Whisp,tank_whisp_taunt,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Tauntin the enemy (Power 8500); Consumes 4 skill stones",58,74,,Human,uses whisp_provoke
58,Taunting Whisp,tank_whisp_taunt,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Tauntin the enemy (Power 9500); Consumes 4 skill stones",66,88,,Human,uses whisp_provoke
62,Taunting Whisp,tank_whisp_taunt,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Tauntin the enemy (Power 10500); Consumes 4 skill stones",76,170,,Human,uses whisp_provoke
66,Taunting Whisp,tank_whisp_taunt,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Tauntin the enemy (Power 11200); Consumes 4 skill stones",84,280,,Human,uses whisp_provoke
70,Taunting Whisp,tank_whisp_taunt,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Tauntin the enemy (Power 11600); Consumes 4 skill stones",92,390,,Human,uses whisp_provoke
74,Taunting Whisp,tank_whisp_taunt,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Tauntin the enemy (Power 12000); Consumes 4 skill stones",100,880,,Human,uses whisp_provoke
,,,,,,,,,,,,,,,,,----------------------------Binding Whisps----------------------------
43,Binding Whisp,tank_whisp_bind,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Binding the enemy; Consumes 4 skill stones",50,35,,Human,uses whisp_bind
49,Binding Whisp,tank_whisp_bind,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Binding the enemy; Consumes 4 skill stones",54,50,,Human,uses whisp_bind
55,Binding Whisp,tank_whisp_bind,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Binding the enemy; Consumes 4 skill stones",58,81,,Human,uses whisp_bind
60,Binding Whisp,tank_whisp_bind,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Binding the enemy; Consumes 4 skill stones",66,120,,Human,uses whisp_bind
64,Binding Whisp,tank_whisp_bind,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Binding the enemy; Consumes 4 skill stones",76,190,,Human,uses whisp_bind
68,Binding Whisp,tank_whisp_bind,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Binding the enemy; Consumes 4 skill stones",84,320,,Human,uses whisp_bind
72,Binding Whisp,tank_whisp_bind,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Binding the enemy; Consumes 4 skill stones",92,650,,Human,uses whisp_bind
74,Binding Whisp,tank_whisp_bind,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Binding the enemy; Consumes 4 skill stones",100,880,,Human,uses whisp_bind
,,,,,,,,,,,,,,,,,----------------------------Charming Whisps----------------------------
40,Charming Whisp,tank_whisp_charm,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Charming the enemy (Power 6500), Consumes 4 skill stones",50,28,,Elf,uses whisp_charm
46,Charming Whisp,tank_whisp_charm,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Charming the enemy (Power 7500); Consumes 4 skill stones",54,40,,Elf,uses whisp_charm
52,Charming Whisp,tank_whisp_charm,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Charming the enemy (Power 8500); Consumes 4 skill stones",58,74,,Elf,uses whisp_charm
58,Charming Whisp,tank_whisp_charm,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Charming the enemy (Power 9500); Consumes 4 skill stones",66,88,,Elf,uses whisp_charm
62,Charming Whisp,tank_whisp_charm,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Charming the enemy (Power 10500); Consumes 4 skill stones",76,170,,Elf,uses whisp_provoke
66,Charming Whisp,tank_whisp_charm,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Charming the enemy (Power 11200); Consumes 4 skill stones",84,280,,Elf,uses whisp_provoke
70,Charming Whisp,tank_whisp_charm,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Charming the enemy (Power 11600); Consumes 4 skill stones",92,390,,Elf,uses whisp_provoke
74,Charming Whisp,tank_whisp_charm,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to aid with Charming the enemy (Power 12000); Consumes 4 skill stones",100,880,,Elf,uses whisp_provoke
,,,,,,,,,,,,,,,,,----------------------------Healing Whisps----------------------------
43,Healing Whisp,tank_whisp_heal,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to heal its master (Power 250); Consumes 4 skill stones",50,35,,Elf,uses whisp_heal and whisp_quick_heal
49,Healing Whisp,tank_whisp_heal,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to heal its master (Power 320); Consumes 4 skill stones",54,50,,Elf,uses whisp_heal and whisp_quick_heal
55,Healing Whisp,tank_whisp_heal,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to heal its master (Power 390); Consumes 4 skill stones",58,81,,Elf,uses whisp_heal and whisp_quick_heal
60,Healing Whisp,tank_whisp_heal,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to heal its master (Power 460); Consumes 4 skill stones",66,120,,Elf,uses whisp_heal and whisp_quick_heal
64,Healing Whisp,tank_whisp_heal,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to heal its master (Power 530); Consumes 4 skill stones",76,190,,Elf,uses whisp_heal and whisp_quick_heal
68,Healing Whisp,tank_whisp_heal,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to heal its master (Power 600); Consumes 4 skill stones",84,320,,Elf,uses whisp_heal and whisp_quick_heal
72,Healing Whisp,tank_whisp_heal,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to heal its master (Power 670); Consumes 4 skill stones",92,650,,Elf,uses whisp_heal and whisp_quick_heal
74,Healing Whisp,tank_whisp_heal,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to heal its master (Power 740); Consumes 4 skill stones",100,880,,Elf,uses whisp_heal and whisp_quick_heal
,,,,,,,,,,,,,,,,,----------------------------Armor Breaking Whisps----------------------------
40,Armor Breaking Whisp,tank_whisp_armor_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break armor of enemy (Deacreases P.Def by 10% and MDef by 5%); Consumes 4 skill stones", 50, 28,,Human,uses whisp_armor_break
46,Armor Breaking Whisp,tank_whisp_armor_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break armor of enemy (Deacreases P.Def by 12% and MDef by 6%); Consumes 4 skill stones", 54, 40,,Human,uses whisp_armor_break
52,Armor Breaking Whisp,tank_whisp_armor_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break armor of enemy (Deacreases P.Def by 14% and MDef by 7%); Consumes 4 skill stones", 58, 74,,Human,uses whisp_armor_break
58,Armor Breaking Whisp,tank_whisp_armor_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break armor of enemy (Deacreases P.Def by 16% and MDef by 8%); Consumes 4 skill stones", 66, 88,,Human,uses whisp_armor_break
62,Armor Breaking Whisp,tank_whisp_armor_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break armor of enemy (Deacreases P.Def by 18% and MDef by 9%); Consumes 4 skill stones", 76,170,,Human,uses whisp_armor_break
66,Armor Breaking Whisp,tank_whisp_armor_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break armor of enemy (Deacreases P.Def by 22% and MDef by 11%); Consumes 4 skill stones", 84,280,,Human,uses whisp_armor_break
70,Armor Breaking Whisp,tank_whisp_armor_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break armor of enemy (Deacreases P.Def by 26% and MDef by 13%); Consumes 4 skill stones", 92,390,,Human,uses whisp_armor_break
74,Armor Breaking Whisp,tank_whisp_armor_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break armor of enemy (Deacreases P.Def by 30% and MDef by 15%); Consumes 4 skill stones",100,880,,Human,uses whisp_armor_break
,,,,,,,,,,,,,,,,,----------------------------Weapon Breaking Whisps----------------------------
43,Weapon Breaking Whisp,tank_whisp_weapon_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break weapon of enemy (Decreases P/M.Atk 5%); Consumes 4 skill stones",50,35,,Human,uses whisp_weapon_break
49,Weapon Breaking Whisp,tank_whisp_weapon_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break weapon of enemy (Decreases P/M.Atk 6%); Consumes 4 skill stones",54,50,,Human,uses whisp_weapon_break
55,Weapon Breaking Whisp,tank_whisp_weapon_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break weapon of enemy (Decreases P/M.Atk 7%); Consumes 4 skill stones",58,81,,Human,uses whisp_weapon_break
60,Weapon Breaking Whisp,tank_whisp_weapon_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break weapon of enemy (Decreases P/M.Atk 8%); Consumes 4 skill stones",66,120,,Human,uses whisp_weapon_break
64,Weapon Breaking Whisp,tank_whisp_weapon_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break weapon of enemy (Decreases P/M.Atk 9%); Consumes 4 skill stones",76,190,,Human,uses whisp_weapon_break
68,Weapon Breaking Whisp,tank_whisp_weapon_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break weapon of enemy (Decreases P/M.Atk 11%); Consumes 4 skill stones",84,320,,Human,uses whisp_weapon_break
72,Weapon Breaking Whisp,tank_whisp_weapon_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break weapon of enemy (Decreases P/M.Atk 13%); Consumes 4 skill stones",92,650,,Human,uses whisp_weapon_break
74,Weapon Breaking Whisp,tank_whisp_weapon_break,Whisp,,,0,0,self/single,1,30,1200,"Call a whisp to break weapon of enemy (Decreases P/M.Atk 15%); Consumes 4 skill stones",100,880,,Human,uses whisp_weapon_break
,,,,,,,,,,,,,,,,,----------------------------Defensive Wall----------------------------
46,Defensive Wall,defensive_wall,pfysical buff,,,0,0,self/single,0.5,900,30,increase p.def +3700; m.def +3300; buff cancel resist x1.8; ms x0.5,20,40,[]
,,,,,,,,,,,,,,,,,---------------------------Reinforcement----------------------------
60,Shield Reinforcement,tank_shield_reinforcement,Toggle,,heavy/shield,0,0,self/single,0,0,0,Increase P.Def +300 and Shield.Rate with 50% (Consumes: 15/s),15,120
,,,,,,,,,,,,,,,,,----------------------------Taunt----------------------------
40,Taunt,provoke,physical active,,,600,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 6500 aggro ahead;",0,28,,Human;Demon
43,Taunt,provoke,physical active,,,600,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 7000 aggro ahead;",0,35,,Human;Demon
46,Taunt,provoke,physical active,,,600,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 7500 aggro ahead;",0,40,,Human;Demon
49,Taunt,provoke,physical active,,,600,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 8000 aggro ahead;",0,50,,Human;Demon
52,Taunt,provoke,physical active,,,600,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 8500 aggro ahead;",0,74,,Human;Demon
55,Taunt,provoke,physical active,,,600,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 9000 aggro ahead;",0,81,,Human;Demon
58,Taunt,provoke,physical active,,,600,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 9500 aggro ahead;",0,88,,Human;Demon
60,Taunt,provoke,physical active,,,800,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 10000 aggro ahead;",0,120,,Human;Demon
62,Taunt,provoke,physical active,,,800,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 10500 aggro ahead;",0,170,,Human;Demon
64,Taunt,provoke,physical active,,,800,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 11000 aggro ahead;",0,190,,Human;Demon
66,Taunt,provoke,physical active,,,800,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 11200 aggro ahead;",0,280,,Human;Demon
68,Taunt,provoke,physical active,,,800,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 11400 aggro ahead;",0,320,,Human;Demon
70,Taunt,provoke,physical active,,,800,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 11600 aggro ahead;",0,390,,Human;Demon
72,Taunt,provoke,physical active,,,800,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 11800 aggro ahead;",0,650,,Human;Demon
74,Taunt,provoke,physical active,,,800,0,enemy/single,0,6,1.5,"Agro enemy - locks it onto you for 1.5s then leaves you 12000 aggro ahead;",0,880,,Human;Demon
,,,,,,,,,,,,,,,,,----------------------------Taunt----------------------------  
40,Charm,charm,Magical Debuff,,,600,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you  6500 aggro ahead (sucsess: x0.7);",0,28,[provoke],Elf
43,Charm,charm,Magical Debuff,,,600,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you  7000 aggro ahead (sucsess: x0.7);",0,35,[provoke],Elf
46,Charm,charm,Magical Debuff,,,600,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you  7500 aggro ahead (sucsess: x0.7);",0,40,[provoke],Elf
49,Charm,charm,Magical Debuff,,,600,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you  8000 aggro ahead (sucsess: x0.7);",0,50,[provoke],Elf
52,Charm,charm,Magical Debuff,,,600,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you  8500 aggro ahead (sucsess: x0.7);",0,74,[provoke],Elf
55,Charm,charm,Magical Debuff,,,600,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you  9000 aggro ahead (sucsess: x0.7);",0,81,[provoke],Elf
58,Charm,charm,Magical Debuff,,,600,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you  9500 aggro ahead (sucsess: x0.7);",0,88,[provoke],Elf
60,Charm,charm,Magical Debuff,,,800,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you 10000 aggro ahead (sucsess: x0.7);",0,120,[provoke],Elf
62,Charm,charm,Magical Debuff,,,800,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you 10500 aggro ahead (sucsess: x0.7);",0,170,[provoke],Elf
64,Charm,charm,Magical Debuff,,,800,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you 11000 aggro ahead (sucsess: x0.7);",0,190,[provoke],Elf
66,Charm,charm,Magical Debuff,,,800,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you 11200 aggro ahead (sucsess: x0.7);",0,280,[provoke],Elf
68,Charm,charm,Magical Debuff,,,800,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you 11400 aggro ahead (sucsess: x0.7);",0,320,[provoke],Elf
70,Charm,charm,Magical Debuff,,,800,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you 11600 aggro ahead (sucsess: x0.7);",0,390,[provoke],Elf
72,Charm,charm,Magical Debuff,,,800,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you 11800 aggro ahead (sucsess: x0.7);",0,650,[provoke],Elf
74,Charm,charm,Magical Debuff,,,800,0,enemy/single,0,6,3,"Charm the enemy - start to walk towards you for 3s then leaves you 12000 aggro ahead (sucsess: x0.7);",0,880,[provoke],Elf
,,,,,,,,,,,,,,,,,----------------------------Mass Taunt---------------------------
40,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 4000 aggro ahead;",40,28,,Human
43,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 4200 aggro ahead;",45,35,,Human
46,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 4400 aggro ahead;",50,40,,Human
49,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 4600 aggro ahead;",55,50,,Human
52,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 4800 aggro ahead;",60,74,,Human
55,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 5000 aggro ahead;",65,81,,Human
58,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 5200 aggro ahead;",70,88,,Human
60,Mass Taunt,mass_provoke,physical active,,,0,400,enemy/aoe,0.5,30,3,"Agro enemies around - locks them onto you for 3s then leaves you 5400 aggro ahead;",75,120,,Human
