LEARN @ LVL,NAME,SKILL_ID,TYPE,WEAPON,WEIGHT,RANGE,AOE,TARGET,CAST s,CD s,DURRATION s,DESCR,MP,SP COST,REPLACES,RACE,Comment
48,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +45, pAtk +25, mpReg +1.9,hpReg +1.6, cast speed x1.07",0,64k,[],,
52,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +45, pAtk +30, mpReg +2.3,hpReg +1.7, cast speed x1.07",0,74k,[],,
56,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +52, pAtk +35, mpReg +2.3,hpReg +1.7, cast speed x1.1 ",0,81k,[],,
58,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +57, pAtk +40, mpReg +2.3,hpReg +2.1, cast speed x1.1 ",0,88k,[],,
60,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +62, pAtk +45, mpReg +2.7,hpReg +2.1, cast speed x1.1 ",0,120k,[],,
62,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +67, pAtk +50, mpReg +2.7,hpReg +2.1, cast speed x1.1 ",0,170k,[],,
64,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +72, pAtk +55, mpReg +2.7,hpReg +2.6, cast speed x1.1 ",0,190k,[],,
66,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +77, pAtk +60, mpReg +2.7,hpReg +2.6, cast speed x1.1 ",0,280k,[],,
68,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +83, pAtk +65, mpReg +3.1,hpReg +2.6, cast speed x1.1 ",0,320k,[],,
70,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +88, pAtk +70, mpReg +3.1,hpReg +2.6, cast speed x1.1 ",0,390k,[],,
72,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +94, pAtk +75, mpReg +3.1,hpReg +2.6, cast speed x1.1 ",0,650k,[],,
74,Spell Mastery,spell_mastery,Passive,blunt|bow,,0,0,self/single,0,0,0,"With blunt/bow weapon decreses the reuse delay with 20%, mAtk +99, pAtk +80, mpReg +3.4,hpReg +2.7, cast speed x1.1 ",0,880k,[],,
,,,,,,,,,,,,,,,,,----------------------HP Boost----------------------
40,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +120",0,36k,[],,
44,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +200",0,43k,[],,
48,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +300",0,64k,[],,
52,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +400",0,74k,[],,
56,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +500",0,81k,[],,
62,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +600",0,170k,[],,
70,HP Boost,hp_boost,Passive,,,0,0,self/single,0,0,0,"Increase max HP +700",0,390k,[],,
,,,,,,,,,,,,,,,,,-----------------------Combo Mastery-----------------------
52,Combo Mastery,wc_combo_mastery,Passive,blunt|bow,,0,0,self/single,0,60,30,"Doing Damage With 3% Chance (3.45% with bow or blunt/2): attack speed +10% and cast speed +5% for you, half of both (+5%/+2.5%) to the party. Require: Bow/Blunt",0,74k,[],,
64,Combo Mastery,wc_combo_mastery,Passive,blunt|bow,,0,0,self/single,0,60,30,"Doing Damage With 3% Chance (3.45% with bow or blunt/2): attack speed +15% and cast speed +10% for you, half of both (+7.5%/+5%) to the party. Require: Bow/Blunt",0,190k,[],,
74,Combo Mastery,wc_combo_mastery,Passive,blunt|bow,,0,0,self/single,0,60,30,"Doing Damage With 3% Chance (3.45% with bow or blunt/2): attack speed +20% and cast speed +15% for you, half of both (+10%/+7.5%) to the party. Require: Bow/Blunt",0,880k,[],,
,,,,,,,,,,,,,,,,,-----------------------Mana Restoration-----------------------
40,Mana Vampirism,wc_mana_vampirism,Passive,blunt|bow,,0,0,self/single,0,0,0,"+1% mana vampirism (physical basic atack only), Require: Bow/Blunt",0,36k,[],,
60,Mana Vampirism,wc_mana_vampirism,Passive,blunt|bow,,0,0,self/single,0,0,0,"+1.5% mana vampirism (physical basic atack only), Require: Bow/Blunt",0,120k,[],,
70,Mana Vampirism,wc_mana_vampirism,Passive,blunt|bow,,0,0,self/single,0,0,0,"+2% mana vampirism (physical basic atack only), Require: Bow/Blunt",0,390k,[],,
,,,,,,,,,,,,,,,,,-----------------------heavy Armor Mastery-----------------------
40,Heavy Armor Mastery,wc_chanter_heavy_mastery,Passive,,heavy,0,0,self/single,0,0,0,"Heavy: Restored Cast Speed to 90%(x1.8) and Attack speed to 100%(x2), Critical damage resist +15%, MP Regen x1.2;",0,36k,[],Human;Demon,
,,,,,,,,,,,,,,,,,-----------------------Harmonist Armor Mastery-----------------------
40,Harmonist Light Mastery,wc_harmonist_light_mastery,Passive,,light,0,0,self/single,0,0,0,"Light: Restored Cast Speed to 90%(x1.8) and Attack speed to 100%(x2), Evasion +6, Critical rate resist +15%, MP Regen x1.2;",0,36k,[],Elf,
,,,,,,,,,,,,,,,,,-----------------------Harmonist Bow Proficiency-----------------------
40,Harmonist Bow Proficiency,wc_harmonist_bow_proficiency,Passive,bow,,0,0,self/single,0,0,0,"Bow: Removed Penalty [cast(x2), mAtk(x2), mAcc(x0.04)]",0,36k,[],Elf,
,,,,,,,,,,,,,,,,,-----------------------Harmonist Bow Mastery-----------------------
40,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +100;",0,36k,[],Elf,
48,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +200;",0,64k,[],Elf,
56,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +300;",0,81k,[],Elf,
60,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +400;",0,120k,[],Elf,
64,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +500;",0,190k,[],Elf,
68,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +540;",0,320k,[],Elf,
70,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +560;",0,390k,[],Elf,
74,Harmonist Bow Mastery,wc_harmonist_bow_mastery,Passive,bow,,0,0,self/single,0,0,0,"Bow: Range +400, P.Atk +600;",0,880k,[],Elf,
,,,,,,,,,,,,,,,,,-----------------------Shield Mastery-----------------------
40,Shield Mastery,tank_shield_mastery,Passive,,heavy/shield,0,0,self/single,0,0,0,"Shield P.Def +30%, Shield Rate +50%;",0,36k,[],Human,
60,Shield Mastery,tank_shield_mastery,Passive,,heavy/shield,0,0,self/single,0,0,0,"Shield P.Def +40%, Shield Rate +70%; bow resistance 16%",0,120k,[],Human,
70,Shield Mastery,tank_shield_mastery,Passive,,heavy/shield,0,0,self/single,0,0,0,"Shield P.Def +50%, Shield Rate +85%; +10% P.Def, bow resistance 16%",0,390k,[],Human,
,,,,,,,,,,,,,,,,,-----------------------Warlock Weapon Mastery-----------------------
40,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"2h Blunt: P.Atk 30, Accuracy +3;",0,36k,[],Demon,
48,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"2h Blunt: P.Atk 40, Accuracy +3;",0,64k,[],Demon,
56,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"2h Blunt: P.Atk 50, Accuracy +3;",0,81k,[],Demon,
60,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"2h Blunt: P.Atk 60, Accuracy +3;",0,120k,[],Demon,
64,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"2h Blunt: P.Atk 70, Accuracy +3;",0,190k,[],Demon,
68,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"2h Blunt: P.Atk 80, Accuracy +3;",0,320k,[],Demon,
70,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"2h Blunt: P.Atk 90, Accuracy +3;",0,390k,[],Demon,
74,Warlock Weapon Mastery,wc_bloodhanter_blunt_mastery,Passive,blunt/2,,0,0,self/single,0,0,0,"2h Blunt: P.Atk 100, Accuracy +3;",0,880k,[],Demon,
,,,,,,,,,,,,,,,,,-----------------------Doctor Weapon Mastery-----------------------
40,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 30;",0,36k,[],Human,
48,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 40;",0,64k,[],Human,
56,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 50;",0,81k,[],Human,
60,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 60;",0,120k,[],Human,
64,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 70;",0,190k,[],Human,
68,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 80;",0,320k,[],Human,
70,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 90;",0,390k,[],Human,
74,Doctor Weapon Mastery,doctor_blunt_mastery,Passive,blunt/1,,0,0,self/single,0,0,0,"Blunt: P.Atk 100;",0,880k,[],Human,
,,,,,,,,,,,,,,,,,---------------------------------------------------------------------------------------------ACTIVE SUPPORT-------------------------------------------------------------------------------------------------------------------
,,,,,,,,,,,,,,,,,----------------------------Great Heal----------------------------
40,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 400,62,36k,[heal],,
44,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 460,68,43k,[heal],,
48,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 520,76,64k,[heal],,
52,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 570,83,74k,[heal],,
56,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 630,90,81k,[heal],,
58,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 660,95,88k,[heal],,
60,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 690,98,120k,[heal],,
62,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 720,100,170k,[heal],,
64,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 750,105,190k,[heal],,
66,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 770,108,280k,[heal],,
68,Great Heal,great_heal,Magic/Heal,,,600,0,target/single,5,3,0,heal with power 800,112,320k,[heal],,
,,,,,,,,,,,,,,,,,---------------------------Resurrection---------------------------
40,Resurrection,resurrection,Magic/Heal,,,600,0,target/single,10,10,0,Revive at 30% HP/MP; restore 35% of lost exp.,95,19k,[],,
44,Resurrection,resurrection,Magic/Heal,,,600,0,target/single,10,10,0,Revive at 30% HP/MP; restore 40% of lost exp.,100,22k,[],,
48,Resurrection,resurrection,Magic/Heal,,,600,0,target/single,10,10,0,Revive at 30% HP/MP; restore 45% of lost exp.,105,32k,[],,
52,Resurrection,resurrection,Magic/Heal,,,600,0,target/single,9,10,0,Revive at 30% HP/MP; restore 50% of lost exp.,110,38k,[],,
56,Resurrection,resurrection,Magic/Heal,,,600,0,target/single,8,10,0,Revive at 30% HP/MP; restore 55% of lost exp.,115,42k,[],,
58,Resurrection,resurrection,Magic/Heal,,,600,0,target/single,7,10,0,Revive at 30% HP/MP; restore 60% of lost exp.,120,45k,[],,
60,Resurrection,resurrection,Magic/Heal,,,600,0,target/single,6,10,0,Revive at 30% HP/MP; restore 65% of lost exp.,125,61k,[],,
62,Resurrection,resurrection,Magic/Heal,,,600,0,target/single,5,10,0,Revive at 30% HP/MP; restore 70% of lost exp.,130,86k,[],,
64,Resurrection,resurrection,Magic/Heal,,,600,0,target/single,5,10,0,Revive at 30% HP/MP; restore 75% of lost exp.,135,100k,[],,
66,Resurrection,resurrection,Magic/Heal,,,600,0,target/single,5,10,0,Revive at 30% HP/MP; restore 80% of lost exp.,140,145k,[],,
,,,,,,,,,,,,,,,,,---------------------------HOT----------------------------
40,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +30 HP/s for 30s,238,36k,[party_heal],,
44,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +40 HP/s for 30s,272,43k,[party_heal],,
48,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +45 HP/s for 30s,304,64k,[party_heal],,
52,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +50 HP/s for 30s,352,74k,[party_heal],,
56,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +55 HP/s for 30s,360,81k,[party_heal],,
58,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +60 HP/s for 30s,380,88k,[party_heal],,
60,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +65 HP/s for 30s,392,120k,[party_heal],,
62,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +70 HP/s for 30s,400,170k,[party_heal],,
64,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +75 HP/s and +5 MP/s for 30s,420,190k,[party_heal],,
66,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +80 HP/s and +5 MP/s for 30s,432,280k,[party_heal],,
68,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +85 HP/s and +5 MP/s for 30s,448,320k,[party_heal],,
70,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +90 HP/s and +5 MP/s for 30s,452,390k,[party_heal],,
72,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +95 HP/s and +5 MP/s for 30s,458,650k,[party_heal],,
74,Harmony of Restoration,wc_harmony_restoration,Magic/Heal,,,600,800,party/aoe,2,10,30,Restores +100 HP/s and +10 MP/s for 30s,464,880k,[party_heal],,
,,,,,,,,,,,,,,,,,---------------------------------------------------------------------------------------------ACTIVE PHYSICAL-------------------------------------------------------------------------------------------------------------------
,,,,,,,,,,,,,,,,,---------------------------Twin Arrow----------------------------
40,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +1000 Twice, Requre: Bow;",62,36k,[],Elf,
48,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +1200 Twice, Requre: Bow;",76,64k,[],Elf,
52,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +1400 Twice, Requre: Bow;",83,74k,[],Elf,
56,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +1600 Twice, Requre: Bow;",90,81k,[],Elf,
58,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +1800 Twice, Requre: Bow;",95,88k,[],Elf,
60,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +2000 Twice, Requre: Bow;",98,120k,[],Elf,
62,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +2200 Twice, Requre: Bow;",100,170k,[],Elf,
64,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +2400 Twice, Requre: Bow;",105,190k,[],Elf,
66,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +2700 Twice, Requre: Bow;",108,280k,[],Elf,
68,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +3000 Twice, Requre: Bow;",112,320k,[],Elf,
70,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +3300 Twice, Requre: Bow;",114,390k,[],Elf,
72,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +3700 Twice, Requre: Bow;",117,650k,[],Elf,
74,Sound Burst,wc_sound_burst,Physical/Active,bow,,900,0,enemy/single,3,3,0,"Deals Physical Damag With Power +4000 Twice, Requre: Bow;",120,880k,[],Elf,
,,,,,,,,,,,,,,,,,---------------------------------------------------------------------------------------------ACTIVE PHYSICAL-------------------------------------------------------------------------------------------------------------------
,,,,,,,,,,,,,,,,,---------------------------Sound Smash----------------------------
40,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +1000, Requre: Blunt;",62,36k,[],Demon;Human,
48,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +1200, Requre: Blunt;",76,64k,[],Demon;Human,
52,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +1400, Requre: Blunt;",83,74k,[],Demon;Human,
56,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +1600, Requre: Blunt;",90,81k,[],Demon;Human,
58,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +1800, Requre: Blunt;",95,88k,[],Demon;Human,
60,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +2000, Requre: Blunt;",98,120k,[],Demon;Human,
62,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +2200, Requre: Blunt;",100,170k,[],Demon;Human,
64,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +2400, Requre: Blunt;",105,190k,[],Demon;Human,
66,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +2700, Requre: Blunt;",108,280k,[],Demon;Human,
68,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +3000, Requre: Blunt;",112,320k,[],Demon;Human,
70,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +3300, Requre: Blunt;",114,390k,[],Demon;Human,
72,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +3700, Requre: Blunt;",117,650k,[],Demon;Human,
74,Sound Smash,wc_sound_smash,Physical/Active,blunt,,40,0,enemy/single,1,3,0,"Deals Physical Damag With Power +4000, Requre: Blunt;",120,880k,[],Demon;Human,
,,,,,,,,,,,,,,,,,-------------------------Acoustic Shock-------------------------
40,Acoustic Shock,wc_acoustic_shock,Physical/Active,blunt,,40,0,enemy/single,1,3,5,"Deals Physical Damag With Power +1000 and Stuns for 5s, Requre: Blunt;",62,36k,[],Demon,
48,Acoustic Shock,wc_acoustic_shock,Physical/Active,blunt,,40,0,enemy/single,1,3,5,"Deals Physical Damag With Power +1200 and Stuns for 5s, Requre: Blunt;",76,64k,[],Demon,
52,Acoustic Shock,wc_acoustic_shock,Physical/Active,blunt,,40,0,enemy/single,1,3,5,"Deals Physical Damag With Power +1400 and Stuns for 5s, Requre: Blunt;",83,74k,[],Demon,
56,Acoustic Shock,wc_acoustic_shock,Physical/Active,blunt,,40,0,enemy/single,1,3,5,"Deals Physical Damag With Power +1600 and Stuns for 5s, Requre: Blunt;",90,81k,[],Demon,
58,Acoustic Shock,wc_acoustic_shock,Physical/Active,blunt,,40,0,enemy/single,1,3,5,"Deals Physical Damag With Power +1800 and Stuns for 5s, Requre: Blunt;",95,88k,[],Demon,
