ID,Name,Level,Type,(P) HP,(P) MP,(P) P_Def,(P) M_Def,P_Atk,M_Atk,Run_Speed,Cast_Speed
20224,Redhorn Footman,72,Humanoid,10900,2180,451,359,933,655,132,333
20560,Sunland Orc Scout,73,Humanoid,11400,2260,464,369,975,685,138,333
20235,Redhorn Recruit,74,Humanoid,11900,2350,477,380,1020,716,132,333
20712,Sunland Orc Warrior,75,Humanoid,12420,2440,490,390,1065,748,132,333
20242,Redhorn Soldier,76,Humanoid,12980,2540,504,401,1113,782,132,333
20575,Sunland Orc Captain,77,Humanoid,13550,2630,518,413,1162,817,132,333
20251,Redhorn General,78,Humanoid,14150,2730,532,424,1213,853,132,333
20725,Emberwyrm Drake,79,Dragon,14780,2830,547,436,1266,890,155,333
20260,Wrathborn Demon,80,Demon,15420,2940,562,448,1321,929,145,333
20801,Radiant Scout,81,Angel,16100,3050,578,460,1378,969,140,333
20272,Radiant Berserker,82,Angel,16800,3160,594,473,1437,1011,135,333
20815,Splinter Mantis Drone,83,Insect,17520,3280,610,486,1498,1054,142,333
20285,Needle Mantis Overseer,84,Insect,18280,3400,627,499,1561,1099,140,333
20830,Drake Leader,85,Dragon,19050,3520,644,513,1627,1145,150,333
20290,Grave Robber Fighter,32,Humanoid,1100,280,101,79,112,77,132,333
20295,Plunder Beetle,34,Insect,1320,320,111,88,127,87,140,333
20300,Dune Orc Archer,40,Humanoid,1980,440,143,112,171,118,132,333
20305,Harpy,42,Humanoid,2350,540,165,130,203,141,138,333
20320,Marsh Marauder,46,Humanoid,2940,660,194,153,255,177,132,333
20325,Amber Basilisk,48,Animal,3280,730,209,165,284,197,120,333
20330,Mantis Follower,50,Insect,3650,810,226,179,316,220,140,333
20335,Fallen Angel,52,Demon,4070,900,243,192,351,245,135,333
20340,Gaze Hound,54,Animal,4550,990,260,206,390,272,140,333
20345,Mirror Ghost,56,Undead,5050,1090,278,221,431,301,125,333
20350,Hollow One,58,Humanoid,5600,1190,297,236,478,334,132,333
20355,Sand Ratman,60,Humanoid,6200,1310,317,252,529,370,132,333
20360,Fen Lizardman,62,Humanoid,6850,1430,337,268,584,409,132,333
20365,Wildhorn Scout,64,Humanoid,7550,1560,358,285,644,451,138,333
20370,Spiteful Ghost,66,Undead,8300,1700,379,302,708,496,125,333
20375,Highland Buffalo (Tamed),68,Animal,9100,1850,402,320,777,545,130,333
20380,Redhorn Elite,73,Humanoid,11400,2260,464,369,975,685,132,333
20385,Sunland Orc Commander,76,Humanoid,12980,2540,504,401,1113,782,132,333
20390,Scarlet Mantis,80,Insect,15420,2940,562,448,1321,929,142,333
20395,Radiant Mage,82,Angel,16800,3160,594,473,1437,1011,132,333
20400,Splinter Mantis Walker,84,Insect,18280,3400,627,499,1561,1099,142,333
20410,Disciple of the Dawn,85,Humanoid,19050,3520,644,513,1627,1145,132,333
