ID,Name,Level,Type,Specialty,Drops (Common / rare / recipe / part),Base mats (primary / secondary),Metal,Volcanic,Common per kill %,Recipe per kill (normal)
marsh_harpy,Marsh Harpy,58,Humanoid,Weapons,blunt1h,Iron / Thread,Nightsilver,,0.2,100% 1/175
mire_swarmling,Mire Swarmling,58,Insect,SmallArmour,helm / gloves / boots / shield,Thread / Leather,Nightsilk,,2.8,100% 1/175
mudskitter,Mudskitter,58,Animal,Body,heavy / light / robe,Leather / Wood,Nightsilk,,0.4,100% 1/175
shellback_crawler,Shellback Crawler,58,Insect,SmallArmour,helm / gloves / boots / shield,Thread / Leather,Nightsilk,,2.8,100% 1/175
sand_ratman,Sand Ratman,60,Humanoid,Weapons,bow,Iron / Thread,Nightsilver,,0.2,100% 1/175
valley_treant,Valley Treant,60,Plant,SmallArmour,helm / gloves / boots / shield,Wood / Leather,Nightsilk,,2.8,100% 1/175
cursed_blade,Cursed Blade,61,Undead,Weapons,sword1h,Thread / Gem,Nightsilver,,0.05,60% 1/250
bogwood,Bogwood,62,Plant,SmallArmour,helm / gloves / boots / shield,Wood / Leather,Nightsilk,,0.825,60% 1/250
fen_lizardman,Fen Lizardman,62,Humanoid,Weapons,blunt2h,Iron / Thread,Nightsilver,,0.05,60% 1/250
obsidian_knight,Obsidian Knight,63,Humanoid,Weapons,duals,Iron / Thread,Nightsilver,,0.05,60% 1/250
crimson_drake,Crimson Drake,64,Dragon,Jewellery,necklace / ring / earring,Iron / Gem,Nightsilver,,0.713,60% 1/250
wildhorn_scout,Wildhorn Scout,64,Humanoid,SmallArmour,helm / gloves / boots / shield,Iron / Thread,Nightsilk,,0.825,60% 1/250
dread_knight,Dread Knight,65,Undead,Jewellery,necklace / ring / earring,Thread / Gem,Nightsilver,,0.713,60% 1/250
spiteful_ghost,Spiteful Ghost,66,Undead,Jewellery,necklace / ring / earring,Thread / Gem,Nightsilver,,0.713,60% 1/250
wildhorn_elder,Wildhorn Elder,66,Humanoid,SmallArmour,helm / gloves / boots / shield,Iron / Thread,Nightsilk,,0.825,60% 1/250
highland_kookaburra,Highland Kookaburra,67,Animal,Body,heavy / light / robe,Leather / Wood,Nightsilk,,0.113,60% 1/250
highland_buffalo,Highland Buffalo,68,Animal,Body,heavy / light / robe,Leather / Wood,Nightsilk,,0.113,60% 1/250
highland_buffalo_tamed,Highland Buffalo (Tamed),68,Animal,Body,heavy / light / robe,Leather / Wood,Nightsilk,,0.113,60% 1/250
dread_archer,Dread Archer,69,Undead,Weapons,bow,Thread / Gem,Nightsilver,,0.05,60% 1/250
dire_beast,Dire Beast,70,Animal,Body,heavy / light / robe,Leather / Wood,Nightsilk,,0.113,60% 1/250
revenant_minion,Revenant Minion,71,Demon,SmallArmour,helm / gloves / boots / shield,Iron / Gem,Nightsilk,,0.825,60% 1/250
redhorn_footman,Redhorn Footman,72,Humanoid,Weapons,wand,Iron / Thread,Nightsilver,,0.05,60% 1/250
redhorn_elite,Redhorn Elite,73,Humanoid,SmallArmour,helm / gloves / boots / shield,Iron / Thread,Nightsilk,,0.825,60% 1/250
sunland_orc_scout,Sunland Orc Scout,73,Humanoid,Weapons,blunt1h,Iron / Thread,Nightsilver,,0.05,60% 1/250
redhorn_recruit,Redhorn Recruit,74,Humanoid,Weapons,sword2h,Iron / Thread,Nightsilver,,0.05,60% 1/250
sunland_orc_warrior,Sunland Orc Warrior,75,Humanoid,Weapons,staff,Iron / Thread,Nightsilver,,0.05,60% 1/250
redhorn_soldier,Redhorn Soldier,76,Humanoid,Weapons,sword1h / bow,Iron / Thread,Nightsilver,ash + stone,,20% 1/1000
sunland_orc_commander,Sunland Orc Commander,76,Humanoid,Weapons,blunt2h / staff,Iron / Thread,Nightsilver,ash + stone,,20% 1/1000
sunland_orc_captain,Sunland Orc Captain,77,Humanoid,SmallArmour,helm / gloves / boots / shield,Iron / Thread,Nightsilk,,,20% 1/600 / 20% 1/400
frost_swarmling,Frost Swarmling,78,Insect,SmallArmour,helm / gloves / boots / shield,Thread / Leather,Nightsilk,,,20% 1/600 / 20% 1/400
frostward_golem,Frostward Golem,78,MagicCreature,Jewellery,necklace / ring / earring,Gem / Wood,Nightsilver,,,20% 1/600 / 20% 1/300 / 20% 1/500
ironshell_crawler,Ironshell Crawler,78,Insect,SmallArmour,helm / gloves / boots / shield,Thread / Leather,Nightsilk,,,20% 1/600 / 20% 1/400
redhorn_general,Redhorn General,78,Humanoid,Weapons,sword2h / wand,Iron / Thread,Nightsilver,,,20% 1/1000
rimebark_treant,Rimebark Treant,78,Plant,Body,heavy / light / robe,Wood / Leather,Nightsilk,,,20% 1/800
rimeskitter,Rimeskitter,78,Animal,Body,heavy / light / robe,Leather / Wood,Nightsilk,,,20% 1/800
storm_harpy,Storm Harpy,78,Humanoid,Weapons,blunt1h / duals,Iron / Thread,Nightsilver,,,20% 1/1000
emberwyrm_drake,Emberwyrm Drake,79,Dragon,Jewellery,necklace / ring / earring,Iron / Gem,Nightsilver,,,20% 1/600 / 20% 1/300 / 20% 1/500
scarlet_mantis,Scarlet Mantis,80,Insect,Body,heavy / light / robe,Thread / Leather,Nightsilk,ash + stone,,
wrathborn_demon,Wrathborn Demon,80,Demon,Weapons,sword1h / bow,Iron / Gem,Nightsilver,ash + stone,,
radiant_scout,Radiant Scout,81,Angel,Weapons,sword2h / wand,Gem / Wood,Nightsilver,,,
radiant_berserker,Radiant Berserker,82,Angel,Weapons,blunt2h / staff,Gem / Wood,Nightsilver,,,
radiant_mage,Radiant Mage,82,Angel,Jewellery,necklace / ring / earring,Gem / Wood,Nightsilver,,,
splinter_mantis_drone,Splinter Mantis Drone,83,Insect,SmallArmour,helm / gloves / boots / shield,Thread / Leather,Nightsilk,,,
needle_mantis_overseer,Needle Mantis Overseer,84,Insect,SmallArmour,helm / gloves / boots / shield,Thread / Leather,Nightsilk,,,
splinter_mantis_walker,Splinter Mantis Walker,84,Insect,SmallArmour,helm / gloves / boots / shield,Thread / Leather,Nightsilk,,,
disciple_of_the_dawn,Disciple of the Dawn,85,Humanoid,Weapons,blunt1h / duals,Iron / Thread,Nightsilver,ash + stone,,
drake_leader,Drake Leader,85,Dragon,Body,heavy / light / robe,Iron / Gem,Nightsilk,ash + stone,,
